A Wolanin
Rudolf van Maanen
Rudyard Cretenet
Rui Nogueira
Ruth Barensteiner
Ruud den Dryver
Régine Vial
Rémy Jouvin Bessière
Sabina Volcot-Freeman
Sabrina Poidevin
Salman Rushdie
Sam Enoch
Sam Gabarski
Sam Mendes
Samuel Pinon
Sandra Nicolier
Sandrine Clarac
Sandrine Martin
Santo Cappon
Sara Gandolfi
Sarah Moreau-Flament
Sarah Vermande
Saskia Lévy
Saïd Ben Saïd
Saïd Ben-Said
Scott Foundas
Sebastian Fleischhacker
Sebastien Azzo
Serge Grünberg
Serge Tosca
Serge Toubiana
Siegfried Hettegger
Sigrid Obellianne
Simone Audissou
Simone Mendoza
Siri Hustvedt
Sissako Abderrahmane
Sissi Duparc
Sonia Rykiel
Sophie Bramly
Sophie Danon
Sophie Davidas
Sophie Deschamps
Sophie Schmit-Flageollet
Sophie Sharkov
Souleymane Cissé
Spencer McAndrew 
Stanislaw Fortuna
Stefanos Psaromiligas
Stephan Streker
Stephane Allagnon
Stephane Lioret
Stephanie Murat
Stephen Brouard
Stephen Frears
Stephen Ujlaki
Steve Catieau
Steve Yeo
Steven Sedgwick
Steven Soderbergh
Steven Soderbergh 
Stéphane Agussol
Stéphane Arnoux
Stéphane Brodzki
Stéphane Corcos
Stéphane Gizard
Stéphane Lam
Stéphane Pietri
Stéphane Pozderec
Stéphanie Arques-Voitoux
Stéphanie Eichler
Suzana Peric
Suzanne Colonna
Sylvette Baudrot
Sylvia Kristel
Sylvie Bardet-Borel
Szentgyörgyi Ottó
Sébastien Jimenez
Taylor Hackford
Teco Celio
Terry Gilliam
Terry Zwigoff
Terzian Alain
Thierry Boscheron
Thierry Chabert
Thierry Drean
Thierry Frémaux
Thierry Grizard
Thierry Kamami
Thierry Mathelin
Thomas Desjonquères
Thomas Jahn
Thomas Pibarot
Thomas Vossart
Thoralf Herz
Thérèse Saliceti
Tilda Swinton
Tim Malieckal
Tim Myers
Tom Tykwer
Tomas Arana
Tone Bay
Tonie Marshall
Tony Gatlif
Tristan Rain
Valentine Theret
Valerie Alati
Valérie de Saint-Do
Valérie Lang
Valérie Soulier
Vangelis
Vassilis Sourapas
Velipekka Makkonen
Verde Visconti
Verlaine Eddy
Veronique Jacquelin
Veronique Lestrade
Vincent Garreau
Vincent Pappalardo
Vinciane Lecocq
Virginie Blanc-Brude Bard
Virginie De Wilde
Virginie Thévenet
Viviane Decuypere
Vivien Villani
Vladimir Bagrianski
Vladimir Perisic
Véra Belmont
Véronique Gillet
Walter Salles
Walter Toubin
Wendy Hudson
Werner Fraai
Wes Anderson
Whoopi Goldberg
William Klein
William Shawcross
Wim De Temmerman
Wim Wenders
Wong Kar Waï
Woody Allen
Woytek Sepiol
Xavier Beauvois
Xavier Berry
Xavier Dolan
Yamina Benguigui
Yan Karlens
Yaniv Elani
Yann Charbonnier
Yann Gozlan
Yann Moix
Yannick Angelloznicoud
Yannick Bellon
Yannick Mazet
Yannick Rolandeau
Yannis Stavrou
Yasmina Reza
Ysabelle Saura Del Pan
Yves Alberty
Yves Gasser
Yvette Lévy
Yvon Marciano
Zbiggy Giovanos
Zdzicho Augustyniak
Zelda Tinska
